"--Device Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Mobile,519433,329246,63.4,99.7,12.4,4.12,1359.44
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"28 Feb, 2022",89685,57532,64.1,99.8,139.1,3.65,210.25
"27 Feb, 2022",69361,43813,63.2,99.7,149,4.41,193.31
"26 Feb, 2022",65987,41093,62.3,99.7,128.5,4.57,188.02
"25 Feb, 2022",63713,39545,62.1,99.5,823.3,4.08,161.68
"24 Feb, 2022",64297,40151,62.4,99.6,165.7,4.53,182.13
"23 Feb, 2022",74429,47854,64.3,99.8,134.7,3.96,189.86
"1 Mar, 2022",91961,59258,64.4,99.8,458.2,3.95,234.19
"
","
"
--Devices--,"--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Mobile,CM_Tips_InApp_Technology_And_Computing_Zen_AppOpen,211865,145540,68.70,99.80,17.30,6.57,957.41
Mobile,CM_Hi_Neighbor_In_App_Technology_And_Computing_AppOpen,32979,12308,37.30,99.90,21.50,6.34,78.09
Mobile,CM_Tips_InApp_Technology_And_Computing_Zenex_AppOpen,23610,16445,69.70,99.80,19.10,4.07,67.07
Mobile,CM_FFH4X_Mod_Menu_Fire_Hack_InApp_Technology_And_Computing_Zenex_Top,8345,5930,71.10,100.00,8.70,1.71,10.18
Mobile,CM_Star_Plus_TV_Serials_Help_InApp_Technology_And_Computing_Zen_AppOpen,1795,692,38.60,99.90,23.60,6.22,4.31
Mobile,CM_Voir_Films_HD_2_Tips_InApp_Technology_And_Computing_Zen_AppOpen,6264,3382,54.00,99.80,20.60,10.39,35.16
Mobile,CM_FFH4X_Mod_Menu_Fire_Hack_InApp_Technology_And_Computing_Zenex_AppOpen,8879,2469,27.80,100.00,13.40,3.19,7.89
Mobile,CM_Tips_InApp_Technology_And_Computing_Zenex_Interstitial,22330,12114,54.20,100.00,14.10,2.39,29.05
Mobile,CM_Hi_Neighbor_In_App_Technology_And_Computing_Top,26201,8405,32.10,100.00,9.40,3.37,28.36
Mobile,CM_FFH4X_Mod_Menu_Fire_Hack_InApp_Technology_And_Computing_Zenex_Native,8534,7872,92.20,100.00,2.70,1.00,7.94
Mobile,CM_Voir_Films_HD_2_Tips_InApp_Technology_And_Computing_Zen_Interstitial,8266,5021,60.70,99.90,9.40,4.03,20.26
Mobile,CM_Toca_Life_World_Stories_InApp_Technology_And_Computing_Zen_AppOpen,2370,755,31.90,99.80,25.00,5.97,4.51
Mobile,CM_Hi_Neighbor_In_App_Technology_And_Computing_Native,19374,15839,81.80,99.80,3.80,1.34,21.36
Mobile,CM_Toca_Life_World_Stories_InApp_Technology_And_Computing_Zen_Interstitial,2472,1511,61.10,100.00,7.90,3.09,4.68
Mobile,CM_Tips_InApp_Technology_And_Computing_Zenex_Native,22127,19101,86.30,99.80,4.00,0.71,13.75
Mobile,CM_Gas_Station_Simulator_InApp_Technology_And_Computing_Zen_AppOpen,3602,1252,34.80,99.80,26.00,3.13,3.93
Mobile,CM_ML_Skin_Guide_InApp_Technology_And_Computing_Zen_AppOpen,15608,3912,25.10,100.00,20.00,3.10,12.13
Mobile,CM_Voir_Films_HD_2_Tips_InApp_Technology_And_Computing_Zen_Native,8479,7554,89.10,99.80,3.60,1.35,10.23
Mobile,CM_FFH4X_Mod_Menu_Fire_Hack_InApp_Technology_And_Computing_Zenex_Anchor,9451,7684,81.30,99.70,0.60,0.30,2.35
Mobile,CM_Hi_Neighbor_In_App_Technology_And_Computing_Anchor,26065,15620,59.90,99.40,1.90,0.55,8.67
Mobile,CM_Voir_Films_HD_2_Tips_InApp_Technology_And_Computing_Zen_Anchor,9211,7398,80.30,96.10,1.90,0.74,5.54
Mobile,CM_Gas_Station_Simulator_InApp_Technology_And_Computing_Zen_Interstitial,2716,1065,39.20,100.00,8.50,1.37,1.46
