"--Ad Unit Name--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
CM_Tips_InApp_Technology_And_Computing_Zen_AppOpen,231401,159565,69.0,99.8,17.7,6.66,1063.07
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"28 Feb, 2022",36529,25347,69.4,99.9,17,6.42,162.93
"27 Feb, 2022",31479,21708,69.0,99.7,18.6,6.88,149.56
"26 Feb, 2022",29174,20001,68.6,99.9,18.4,7.22,144.45
"25 Feb, 2022",29161,20216,69.3,99.6,17.9,6.30,127.4
"24 Feb, 2022",30849,21332,69.1,99.6,17.6,6.84,145.92
"23 Feb, 2022",28709,19867,69.2,99.9,18.1,7.06,140.36
"1 Mar, 2022",45500,31094,68.3,99.9,16.7,6.18,192.45
"
","
"
"
","
"
"--Ad Unit Name--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
CM_Hi_Neighbor_In_App_Technology_And_Computing_AppOpen,43305,16481,38.1,99.9,22.1,7.31,120.52
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"28 Feb, 2022",5101,2048,40.1,100.0,23.7,6.40,13.12
"27 Feb, 2022",7385,2881,39.0,99.7,21.9,7.58,21.86
"26 Feb, 2022",7913,2951,37.3,99.9,21.8,7.41,21.87
"25 Feb, 2022",7082,2653,37.5,99.7,20.6,6.95,18.45
"24 Feb, 2022",5384,2032,37.7,99.9,22.2,8.43,17.14
"23 Feb, 2022",5312,2002,37.7,99.9,22,7.88,15.79
"1 Mar, 2022",5128,1914,37.3,100.0,22.8,6.42,12.29
"
","
"
"
","
"
"--Ad Unit Name--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
CM_Tips_InApp_Technology_And_Computing_Zenex_AppOpen,25872,18034,69.7,99.8,19.5,4.08,73.73
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"28 Feb, 2022",3703,2557,69.1,99.8,19.6,3.79,9.71
"27 Feb, 2022",4629,3289,71.1,99.8,19.5,4.16,13.69
"26 Feb, 2022",3754,2577,68.6,99.5,20.8,4.09,10.54
"25 Feb, 2022",3317,2319,69.9,99.8,19.4,3.82,8.88
